KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
hws_dlg_pKeKqe8,"The short version? The TSCG is the last and only hope for this whole Universe. The long version starts with Professor Void and the Elemental Galactic Services (EGS Corporation). There was a time that human kind realized that they will never solve their biggest threat of existence: the Energy Consumption. They never saw the real underlying issue of the human race: their spreading. Like a virus their numbers grew and grew. Conflicts arised because of that. Regular Blackouts happened. At the edge of extinction, there was this one man, Professor Void. Nobody believed him and his ideas to see the Universe more abstract. That there is more available than Pysics and Math. Their is a form of energy that is around everything and everyone: the Elements.",,,,,,,,,,,,,,,,
hws_dlg_B4mSSCS,<i><color=#ffffff>Leave</color></i>,,,,,,,,,,,,,,,,
hws_dlg_IamMSGa,{ElementOutput},,,,,,,,,,,,,,,,
hws_dlg_OCSCG0i,[Time Space Continuum Generator] > Pyro Element,,,,,,,,,,,,,,,,
hws_dlg_WieCuWK,<i><color=#ffffff>Continue</color></i>,,,,,,,,,,,,,,,,
hws_dlg_aaSCau8,Why are you here?,,,,,,,,,,,,,,,,
hws_dlg_0uOeiSi,What does Time Space Continuum Generator means?,,,,,,,,,,,,,,,,
hws_dlg_OGJme8W,<i><color=#ffffff>Leave</color></i>,,,,,,,,,,,,,,,,
hws_dlg_0wa8OiO,{ElementOutput},,,,,,,,,,,,,,,,
hws_dlg_mmW8GmQ,[Time Space Continuum Generator] > Nox Element,,,,,,,,,,,,,,,,
hws_dlg_A0OOCGC,<i><color=#ffffff>Continue</color></i>,,,,,,,,,,,,,,,,
hws_dlg_Gp0OeCC,Why are you here?,,,,,,,,,,,,,,,,
hws_dlg_GqaKq4w,What does Time Space Continuum Generator means?,,,,,,,,,,,,,,,,
hws_dlg_aW4MmM4,<i><color=#ffffff>Leave</color></i>,,,,,,,,,,,,,,,,
hws_dlg_a4OW0CV,EWS² stands for Elemental Weapon System or simply speaking the new Rock-Paper-Scissor system in HWS. The complete overview about that can be found in the Elemental Ship behind me. But as an example I am the <color=#1abc42>Terra Element</color> and does <color=#ffffff>200% bonus Damage</color> against the <color=#2359d7>Aqua Element</color>. Furthermore my <color=#ffffff>meta ability</color> is a high Hitpoint count for devices / blocks.,,,,,,,,,,,,,,,,
hws_dlg_qaS89Ci,EWS² stands for Elemental Weapon System or simply speaking the new Rock-Paper-Scissor system in HWS. The complete overview about that can be found in the Elemental Ship behind me. But as an example I am the <color=#e7390d>Pyro Element</color> and does <color=#ffffff>200% bonus Damage</color> against the <color=#1abc42>Terra Element</color>. Furthermore my <color=#ffffff>meta ability</color> is a high area of effect damage for weapons.,,,,,,,,,,,,,,,,
hws_dlg_8e4GMae,EWS² stands for Elemental Weapon System or simply speaking the new Rock-Paper-Scissor system in HWS. The complete overview about that can be found in the Elemental Ship behind me. But as an example I am the <color=#2359d7>Aqua Element</color> and does <color=#ffffff>200% bonus Damage</color> against the <color=#e7390d>Pyro Element</color>. Furthermore my <color=#ffffff>meta ability</color> is a high rate of fire for weapons.,,,,,,,,,,,,,,,,
hws_dlg_Ae28eG0,EWS² stands for Elemental Weapon System or simply speaking the new Rock-Paper-Scissor system in HWS. The complete overview about that can be found in the Elemental Ship behind me. But as an example I am the <color=#555555>Nox Element</color> and does <color=#ffffff>200% bonus Damage</color> against the <color=#02f2aa>Obsidian Element</color>. Furthermore my <color=#ffffff>meta ability</color> is a <color=#ffffff>200% bonus Damage</color> against all types of Shields.,,,,,,,,,,,,,,,,
hws_dlg_iqG84uC,{ElementOutput},,,,,,,,,,,,,,,,
hws_dlg_8OiiSuW,[Time Space Continuum Generator] > Aqua Element,,,,,,,,,,,,,,,,
hws_dlg_uaCWS0W,<i><color=#ffffff>Continue</color></i>,,,,,,,,,,,,,,,,
hws_dlg_iWeiqGi,Why are you here?,,,,,,,,,,,,,,,,
hws_dlg_6W3Oq0C,What does Time Space Continuum Generator means?,,,,,,,,,,,,,,,,
hws_dlg_SCuEgS4,<i><color=#ffffff>Leave</color></i>,,,,,,,,,,,,,,,,
hws_dlg_aec1SaS,What about Obsidian and Strangelet? They are missing here!,,,,,,,,,,,,,,,,
hws_dlg_qeO0CiO,"Oh, I see you are a good observer! It sparks hope in me that you will safe all of us. Well then. <color=#02f2aa>Obsidian</color> is no pure element like us. It is an artificial hybrid Element, created by Professor Void to gain even more Energy out of us and can only be gained by combining <color=#2359d7>Aqua</color>, <color=#1abc42>Terra</color> and <color=#e7390d>Pyro</color> together. @p9 And about <color=#ff00d4>Strangelet</color>... this is too dangerous to tell you for now. Only Professor Void is able to talk about that. Visit him in the HWS+ Universe, on the Void Planet, in the Void Lab.",,,,,,,,,,,,,,,,
dialogue_qqOeCOd,<b><color=#019245>HWS+ Boost applied: </color></b>\n• <color=#ffffff>1000 000 000 Player Credits</color> <i>(to refill your Ship Ammo + Fuel here at the TSCG)</i>\n• <color=#ffffff>Player Level 25</color>\n• <color=#ffffff>100000 Tech Tree Unlock Points</color>\n<color=#ffffff>@p9</color>\n<color=#ffffff>Thanks for playing on the HWS Server!</color>\n<color=#ffffff><i>RexXxuS</i></color>,,,,,,,,,,,,,,,,
dialogue_GSaCC4e,HWS+ Creative Scenario,,,,,,,,,,,,,,,,
