KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
mnuStartWorldChangeDefault,You will respawn on {0}.\n[c][fdb100]This is a safe option for respawning.[-][/c],Du kehrst auf auf {0} zurück.\n[c][fdb100]Dies ist eine sichere respawn Option.[-][/c],Vous allez redémarrer le jeu sur {0}.,Ricomicerai la partita su {0}.,Reiniciarás el juego en {0}.,Irá recomeçar o jogo em {0}.,Você vai recomeçar o jogo em {0}.,Rozpoczniesz ponownie grę na {0}.,Вы перезапустите игру на {0}.,{0}でゲームを再開します。,你将会在{0}重新开始游戏。,將於{0}重新開始遊戲。,{0}에서 게임을 다시 시작합니다.,Oyunu burada {0} yeniden başlatacaksınız.,Θα ξεκινήσεις ξανά το παιχνίδι στον {0}.,Je start het spel opnieuw op {0}.,Bạn sẽ bắt đầu lại trò chơi vào {0}.
mnuStartWorldChangeEscapePod,You will respawn on {0} in your escape pod.\n[c][fdb100]This is a safe option for respawning.[-][/c],Du kehrst auf auf {0} in deiner Rettungskapsel zurück.\n[c][fdb100]Dies ist eine sichere respawn Option.[-][/c],Vous allez redémarrer le jeu sur {0} dans votre module de survie.,Ricomincerai nuovamente la partita su {0} nella tua Capsula di Salvataggio.,Reiniciarás el juego en en {0} en tu cápsula de escape.,Irá recomeçar o jogo em {0} na sua cápsula de saída.,Você vai recomeçar o jogo em {0} na Cápsula de Fuga.,"Rozpoczniesz ponownie grę na {0}, w kapsule ratunkowej.",Вы перезапустите игру на {0} в вашей спасательной капсуле.,{0}からゲームを再開します。,你将会在{0}的逃生舱内重新开始游戏。,您將在逃生艙裡於{0}重新開始遊戲。,탈출선에서 {0}에 대한 게임을 다시 시작합니다.,Oyunu burada {0} kaçış kapsülünüzün içinde yeniden başlatacaksınız.,Θα ξεκινήσεις ξανά το παιχνίδι στον {0} στο σκάφος διαφυγής.,"Je start de game opnieuw op, op {0} in je ontsnappingscapsule",Bạn sẽ khởi động lại trò chơi vào {0} trong nhóm thoát của bạn.
mnuStartWorldChangeStructure,You will respawn on {0} at {1}.\n[c][fdb100]This is a safe option for respawning.[-][/c],Du kehrst auf auf {0} in {1} zurück.\n[c][fdb100]Dies ist eine sichere respawn Option.[-][/c],Vous allez redémarrer le jeu sur sur {0} à {1}.,Ricomicerai la partita su {0} a {1}.,Reiniciarás el juego en {0} en {1}.,Irá recomeçar o jogo em {0} em {1}.,Você vai recomeçar o jogo em {0} em {1}.,Rozpoczniesz ponownie grę na {0} w {1}.,Вы перезапустите игру на {0} до {1}.,{1}の{0}でゲームを再開します。,你将会在{0}的{1}中重新开始游戏。,將以{1}重啟遊戲於{0}。,{1}에서 {0}에 대한 게임을 다시 시작합니다.,{0} üzerinde {1} konumunda oyunu yeniden başlatacaksınız.,Θα ξεκινήσεις ξανά το παιχνίδι στον {0} στο {1}.,"Je start de game opnieuw op, op {0} bij {1},",
mnuStartWorldWarning,[c][ff4040]Note: All other players will lose their inventory and get respawned with you.,[c][ff4040]Hinweis: Alle anderen Spieler verlieren ihre mitgeführten Gegenstände und werden mit dir versetzt.,[c] [ff4040] Remarque : Tous les autres joueurs vont perdre leur inventaire et réapparaître avec vous.,[c][ff4040]Nota: Tutti gli altri giocatori perderanno il loro inventario e ricompariranno insieme a te.,[c][ff4040]Nota: Todos los otros jugadores perderán su inventario y se regenerarán contigo.,[c][ff4040]Nota: Todos os restantes jogadores irão perder o seu inventário e serão recriados consigo.,[c][ff4040] Nota: Todos os outros jogadores perderão seu inventário e serão resgatados com você.,[c][ff4040]Uwaga: Wszyscy inni gracze utracą swój inwentarz i odrodzą się wraz z Tobą.,[c][ff4040]Сообщение: Все остальные игроки потеряют свой инвентарь и будут возрождены вместе с вами.,[c][ff4040]注:他のプレイヤーからあなたの情報は失われ、復活します。,[c][ff4040]注意:其他所有玩家将失去其背包并和你一起重生。,[c][ff4040]注意：其他玩家也將失去物品欄裡所有物品並與你一起重生。,[c][ff4040]주: 다른 모든 플레이어는 자신의 인벤토리를 잃어 버리고 당신과 함께 부활하게 됩니다.,[c][ff4040]Not: Diğer tüm oyuncular envanterlerini kaybedecek ve sizin yanınızda doğacaklar.,[c][ff4040]Σημείωση: Όλοι οι άλλοι παίχτες θα χάσουν το Inventory τους και θα δημιουργηθούν μαζί σου,[c] [ff4040] Opmerking: alle andere spelers verliezen hun inventaris en respawnen bij jou.,
PistolEpic,Pistol (Epic),Pistole (Episch),Pistolet (Epique),Pistola (Epica),Pistola (Épica),,Pistola Épica,Pistolet (epicki),Пистолет (Эпик),ハンドガン(Epic),史诗射弹手枪,,,Tabanca (Epik),Πιστόλι (Επικό),Versterkt projectiel pistool (T2),Súng lục nâng cấp (T2)
AssaultRifleEpic,Assault Rifle (Epic),Sturmgewehr (Episch),Fusil d'assaut (Epique),Fucile d'Assalto (Epico),Rifle de Asalto (Épico),,Rifle de Assalto Épico,Karabin (epicki),Штурмовая винтовка (Эпик),アサルトライフル(Epic),史诗突击步枪,,,Saldırı Tüfeği (Epik),Τουφέκι Επίθεσης (Επικό),Versterkt aanvalsgeweer (T2),Súng trường tấn công nâng cấp (T2)
Shotgun2Epic,Assault Shotgun (Epic),Sturmschrotflinte (Episch),Fusil à pompe d'assaut (Epique),Fucile a Pompa d'Assalto (Epico),Escopeta de Asalto (Épica),,Escopeta Épico,Strzelba (epicka),Штурмовой дробовик (Эпик),アサルトショットガン((Epic),史诗霰弹枪,,,Pompalı Tüfek (Epik),Shotgun Επίθεσης (Επικό),Versterkt jachtgeweer (T2),Súng shotgun nâng cấp (T2)
MinigunEpic,Laser Minigun (Epic),Laser Minigun (Episch),Mitrailleuse laser (Epique),Minigun Laser (Epica),Ametralladora Laser (Épica),,Metralhadora Épica,Laser minigun (epicki),Лазерный миниган (Эпик),ミニガン(Epic),史诗激光机枪,,,Minigun (Epik),Πιροβόλο Λέιζερ (Επικό),Versterkte minigun,Súng máy minigun nâng cấp
Sniper2Epic,Heavy Sniper Rifle (Epic),Schweres Scharfschützengewehr (Episch),Fusil sniper lourd (Epique),Fucile di Precisione Pesante (Epico),Rifle de Francotirador Pesado (Épico),,,Ciężki karabin snajperski (epicki),Тяжелая снайперская винтовка (Эпик),スナイパーライフル(Epic),史诗重型狙击步枪,,,Ağır Keskin Nişancı Tüfeği (Epik),Βαρύ Τουφέκι Sniper (Επικό),,
LaserRifleEpic,Laser Rifle (Epic),Lasergewehr (Episch),Fusil à plasma (Epique),Fucile al Plasma (Epico),Rifle de Plasma (Épico),,Rifle de Precisão Épico,Karabin plazmowy (epicki),Плазменная винтовка (Эпик),プラズマライフル(Epic),史诗等离子步枪,,,Plazma Tüfeği (Epik),Τουφέκι Πλάσματος (Επικό),Versterkt sluipschuttersgeweer (T2),Súng trường bắn tỉa nâng cao (T2)
PulseRifleEpic,Pulse Rifle (Epic),Pulsgewehr (Episch),Fusil à impulsion EM (Epique),Fucile a Impulsi EM (Epico),Rifle de Pulso (Épico),,Rifle de Pulso Épico,Karabin impulsowy (epicki),Импульсная винтовка (Эпик),パルスライフル(Epic),史诗脉冲步枪,,,Taramalı Tüfek (Epik),Παλμικό Τουφέκι ΕΜ (Επικό),Versterkt puls geweer (T2),
RocketLauncherEpic,Rocket Launcher (Epic),Raketenwerfer (Episch),Lance-roquettes (Epique),Lanciarazzi (Epico),Lanzacohetes (Épico),,Lança Foguetes Épico,Wyrzutnia rakiet (epicka),Ракетница (Эпик),ロケットランチャー(Epic),史诗火箭发射器,,,Roketatar (Epik),Εκτοξευτής Ρουκετών (Επικό),Verstekte raket lanceerder (T2),Súng phóng rocket nâng cấp (T2)
ScifiCannonEpic,Plasma Cannon (Epic),Plasmawerfer (Episch),Canon à plasma (Epique),Cannone al Plasma (Epico),Cañón de Plasma (Épico),,Canhão de Plasma Épico,Działko plazmowe (epickie),Плазменная пушка (Эпик),プラズマキャノン(Epic),史诗等离子加农炮,,,Plazma Topu (Epik),Κανόνι Πλάσματος (Επικό),Versterkt plasma kanon,Súng pháo plasma nâng cấp
PlasmaCannonAlien,Alien ION Gun,Alien ION Waffe,,,,,,,,,,,,,,,
PlasmaCannonAlienCharge,Alien ION Charge,Alien ION Ladung,,,,,,,,,,,,,,,
HWS,Homeworld Server,Homeworld Server,,,,,,,,,,,,,,,
ttwAlienTechnology,[c][d978b0]Alien Technology[-][/c],Alien Technologie,,,,,,,,,,,,,,,
ttwNaturalScience,[c][1abc42]Natural Science[-][/c],Naturwissenschaft,,,,,,,,,,,,,,,
WeaponSVAntimatterCannon,Antimatter Cannon,Antimaterie Kanone,,,,,,,,,,,,,,,
AmmoSVAntimatterCannon,Antimatter Charge,Antimaterie Ladung,,,,,,,,,,,,,,,
WeaponSVTorpedoLauncher,M77 Torpedo Launcher,M77 Torpedo Schacht,,,,,,,,,,,,,,,
AmmoSVTorpedo,M77 Torpedo,M77 Torpedo,,,,,,,,,,,,,,,
WeaponCVTorpedoLauncher,L77 Torpedo Launcher,L77 Torpedo Schacht,,,,,,,,,,,,,,,
AmmoCVTorpedo,[c][FFF300]L77 Torpedo[-][/c],[c][FFF300]L77 Torpedo[-][/c],,,,,,,,,,,,,,,
TurretHVLaser,Laser Turret,Laser Geschützturm,,,,,,,,,,,,,,,
AmmoTurretHVLaser,Ls.Charge II HV,Ls.Ladung II BG,,,,,,,,,,,,,,,
PentaxidSeedCrystal,Pentaxid Seed Crystal,Pentaxid - Keim,,,,,,,,,,,,,,,
PentaxidSeedCrystal2,Pentaxid Crystal (Extractable),Pentaxid – Erntereif,,,,,,,,,,,,,,,
MedicGun,Medical Injector,Medizinischer Injektor,,,,,,,,,,,,,,,
CrewBaseEngineerI,Base Engineer I Crew,Basis Ingeneur I Angeheuert,,,,,,,,,,,,,,,
CrewBaseEngineerII,Base Engineer II Crew,Basis Ingeneur II Angeheuert,,,,,,,,,,,,,,,
CrewCVEngineerI,CV Engineer I Crew,GR Ingeneur I Angeheuert,,,,,,,,,,,,,,,
CrewCVEngineerII,CV Engineer II Crew,GR Ingeneur II Angeheuert,,,,,,,,,,,,,,,
CrewCVCoordinatorI,CV Coordinator Crew,GR Koordinator Angeheuert,,,,,,,,,,,,,,,
CrewHVOperatorI,HV Operator Dwarf Crew,BG Zwerg Navigator Angeheuert,,,,,,,,,,,,,,,
CrewSVPilotI,SV Co-Pilot Dwarf Crew,KR Zwerg Co-Pilot Angeheuert,,,,,,,,,,,,,,,
cpgHWSCrew,Hired Crew,Angeheurte Mitarbeiter,,,,,,,,,,,,,,,
bkiCloneChamber,"ATTENTION: make enough room around the device to be not stuck after respawn! Respawn in docked ships is NOT possible.\nAs long as you are in the same playfield as this Clone Chamber is, you have the option to respawn here. If put on a BA/CV, you also have the option to set it as Home Spawn in the Control Panel, which leds you respawn here from everywhere.","ACHTUNG: Sorge für genügend Abstand um das Gerät herum, damit du nicht gefangen wirst! Wiederbelebung in gedockten Schiffen ist NICHT möglich! Solange du dich im selben Spielfeld aufhältst wie diese Klon Kammer, hast du die Möglichkeit hier wiederbelebt zu werden. Wenn es eine BA/CV ist, kannst du im Kontrollfenster eine Heimat festlegen. Dies erlaubt dir vom ganzen Universum aus hier wiederbelebt zu werden.",Définit le point de réapparition d'un joueur (respawn).,Imposta il tuo Punto di Rigenerazione,Establece punto de aparición,Define o ponto de criação,Definir pontos de spawn,Ustawia potencjalny punkt odrodzenia,Устанавливает точку возрождения.,復帰ポイントを設定可能,设置重生点,設定出生點,스폰 지점을 설정합니다.,Doğma/çağırma noktasını ayarlar,Ορίζει ένα σημείο δημιουργίας,Bepaalt spawn punt,Đặt điểm sinh sản
bkiMedicinelabMS,"ATTENTION: make enough room around the device to be not stuck after respawn! Respawn in docked ships is NOT possible.\nRestores health and as long as you are in the same playfield as this Clone Chamber is, you have the option to respawn here. If put on a BA/CV, you also have the option to set it as Home Spawn in the Control Panel, which leds you respawn here from everywhere.","ACHTUNG: Sorge für genügend Abstand um das Gerät herum, damit du nicht gefangen wirst! Wiederbelebung in gedockten Schiffen ist NICHT möglich! Heilt dich und solange du dich im selben Spielfeld aufhältst wie diese Klon Kammer, hast du die Möglichkeit hier wiederbelebt zu werden. Wenn es eine BA/CV ist, kannst du im Kontrollfenster eine Heimat festlegen. Dies erlaubt dir vom ganzen Universum aus hier wiederbelebt zu werden.",Rétablit les points de vie et définit un point respawn.,Ripristina la salute e imposta il punto di Rigenerazione.,Restaura la salud y crea un punto de aparición.,Repõe saúde e define ponto de criação,Restaura saúde e define ponto de spawn,Regeneruje żywotność oraz ustawia potencjalny punkt odrodzenia,Восстанавливает здоровье и устанавливает точку возрождения.,ヘルス回復作成ポイントとして利用できます,恢复生命和设置复活点,恢復生命值並設定出生點。,건강을 회복하고 스폰 지점을 설정합니다.,Sağlığı iyileştirir ve doğma noktası ayarlar,Επαναφέρει την ζωή και ορίζει ένα σημείο δημιουργίας,Herstelt de gezondheid en stelt het spawn-punt in,Phục hồi máu và đặt điểm hồi sinh
HWSEventHalloweenArmor,[c][fdb100]HWS Halloween Pumpkin Armor[-][/c],,,,,,,,,,,,,,,,
HWSEventHalloweenPumpkinShell,[c][fdb100]HWS Halloween Pumpkin Shell[-][/c],,,,,,,,,,,,,,,,
bkiHWSEventHalloweenArmor,"If you collect enough HWS Halloween Pumpkin Shells, you can craft this very special and unique Armor!","Wenn Sie genug HWS Halloween Pumpkin Shells sammeln, können Sie diese ganz besondere und einzigartige Rüstung herstellen!",,,,,,,,,,,,,,,
bkiHWSEventHalloweenPumpkinShell,Only during the HWS Halloween Event available. Collect as many as you can to craft a powerful Armor out of them!,"Nur während des HWS Halloween Events verfügbar. Sammle so viele wie möglich, um daraus eine mächtige Rüstung herzustellen!",,,,,,,,,,,,,,,
SurvivalTool,Survival & Detector Tool,Überlebens & Detektor-Multiwerkzeug,Outil de détection & de survie,Strumento di rilevamento della sopravvivenza,Herramienta de detección de supervivencia,,Ferramenta de Sobrevivência,Narzędzie surwiwalowe,Детектор выживания,サバイバルツール,生存工具,,,Hayatta Kalma Aleti,Εργαλείο Επιβίωσης,,
bkiWarpDriveT3,A special and rare CV Warp Drive with the highest range and most efficient usage. Can be only found in the Homeworld of the Civilians in the outer Universe.,Ein besonderes und seltenes Warp Gerät mit der höchsten Reichweite und Effizienz. Kann nur im Heimatland der Zivilen Fraktion weit draußen in der Galaxie gefunden werden,,,,,,,,,,,,,,,
WarpDriveT2,Warp Drive T2,Warp Gerät T2,,,,,,,,,,,,,,,
WarpDriveT3,[c][fdb100]Warp Drive T3[-][/c],Warp Gerät T3,,,,,,,,,,,,,,,
bkiSurvivalTool,"Tool used for basic defence, resource gathering from rocks, salvaging of structures and detection. Press Right Mouse Button (RMB) to access all options.","Werkzeug mit eingebauter Waffe, zum Erz-Abbau an Steinen, Zerlegen von Strukturen und Radarfähigkeit. Drück die Rechte Maus Taste, um alle Optionen anzuzeigen.","Outil utilisé pour une défense basique, le forage des roches et le désassemblage de structures","Dispositivo utilizzato per la Difesa di base, per recuperare risorse dalle rocce e recuperare materiali dalle strutture","Herramienta utilizada para la defensa básica, recolección de recursos de rocas y desmantelación de estructuras.",,"Ferramenta usada para defesa básica, coleta de recursos de rochas e recuperação de estruturas","Narzędzie używane do obrony, gromadzenia zasobów ze skał oraz odzyskiwania materiałów ze struktur","Инструмент используется для базовой защиты, сбора ресурсов из горных пород и утилизации конструкций",基本的な防衛、岩石からの資源採取、構造物の回収に使用されるツール,基本的防御工具，仅用于采集岩石或回收建筑。,,,"Temel savunma, kayalardan kaynak toplama ve yapıları kırmak için kullanılan araç","Εργαλείο που χρησιμοποιείται για βασική άμυνα, μάζεμα πόρων από πέτρες και συντρίμμια κατασκευών","Gereedschap gebruikt voor basis verdediging, grondstoffen verzameling uit stenen en het recycelen van bouwwerken.",
EGS,Elemental Galactic Services,,,,,,,,,,,,,,,,
igmLCEnemyBase,You cannot do this here - there is another base nearby. Press M to check the Landclaim Zone.,Diese Aktion kann hier nicht ausgeführt werden - es befindet sich eine fremde Basis in der Nähe. Drücke M und prüfe die Landgebietszone.,"Vous ne pouvez pas faire ça ici, il y a une Base à proximité",Non puoi eseguire questa azione qui - c'è un'altra base nelle vicinanze,No puedes hacer esto aquí - hay otra base cerca,,Você não pode fazer isso aqui - tem uma outra base próxima,Nie możesz tego zrobić - w pobliżu znajduje się inna baza,Вы не можете сделать это здесь - поблизости есть другая база,近くに他の施設があるため実行できません,不能在此地进行 - 附近有另外一个基地。,,,Burada bunu yapamazsınız - yakında başka bir Üss var,Δεν μπορείς να το κάνεις αυτό εδώ - υπάρχει μία άλλη βάση κοντά,"Je kunt dit hier niet doen, er is een andere basis vlakbij.",Bạn không thể làm điều này ở đây - Có một căn cứ khác gần đây
lpsHWSPlusStart,HWS+ | The Era Of Elements,HWS+ | Die Ära Der Elemente,,,,,,,,,,,,,,,
HWSHelmetPatron,[c][fdb100]HWS Patron Helmet Skin[-][/c],[c][019245]HWS Patron Helm Skin[-][/c],,,,,,,,,,,,,,,
bkiHWSHelmetPatron,HWS Patron Exclusive Skin Helmet. Get yours at [c][019245][u]https://patreon.com[/u][-][/c]. Thank you so much supporting me!,HWS Patron Exklusiver Skin Helm. Schnapp dir deinen auf [c][019245][u]https://patreon.com[/u][-][/c]. Vielen lieben Dank das du mich unterstützt!,,,,,,,,,,,,,,,
HWSNecklaceElementalPower,[c][fdb100]Elemental Power[-][/c],[c][019245]Elementare Macht[-][/c],,,,,,,,,,,,,,,
bkiHWSNecklaceElementalPower,You activated a HWS Star Fragment and got rewarded with the Elemental Power. Protect it with your life and bring it back to the Elemental Stone in the EGS HQ to expand the Universe,Du hast ein HWS Sternfragment aktiviert und wurdest mit der Elementaren Macht belohnt. Beschütze es mit deinem Leben und bring es zurück zum Elementen Stein im EGS Hauptquartier, um das Universum zu erweitern,,,,,,,,,,,,,,
HWSValentinesDayGlasses,[c][fdb100]HWS Valentines Day Glasses Skin[-][/c],[c][019245]HWS Valentins Tag Brillen Skin[-][/c],,,,,,,,,,,,,,,
bkiHWSValentinesDayGlasses,HWS Patron Exclusive Skin Glasses. Activate the Love Zoom with Right Click hold and mousewheel scroll. Get yours at [c][019245][u]https://patreon.com[/u][-][/c]. Thank you so much supporting me!,HWS Patron Exklusiver Skin Brille. Aktivier den Liebes Zoom mit Rechtsklick halten und Mausrad scrollen. Schnapp dir deinen auf [c][019245][u]https://patreon.com[/u][-][/c]. Vielen lieben Dank das du mich unterstützt!,,,,,,,,,,,,,,,
HWSBlockSpikeTrap,Spike Trap Block, Stachel Fallen Block,,,,,,,,,,,,,,,
HWSMedicCyborgStatic,RexXxuS Clone X7,,,,,,,,,,,,,,,,
HWSCyborgServant,Series X Clones,,,,,,,,,,,,,,,,
HWSEngineerCyborgStatic,Representative of Cyborgs,,,,,,,,,,,,,,,,
RocketPodMSWeapon,Heavy Rocket Launcher,Schwerer Raketenwerfer,Lance-roquettes,Lanciarazzi,Lanzamisiles,Lança-foguetes,Lança-Foguetes,Wyrzutnia Rakiet,Ракетная установка,ロケットランチャー,火箭发射器 (主力舰),火箭發射器,로켓 발사기,Roketatar,Εκτοξευτής Ρουκετών,Raketlanceerder,Đầu phóng tên lửa
WeaponMS03,Heavy Rocket Launcher,Schwerer Raketenwerfer,Lance-roquettes,Lanciarazzi,Lanzamisiles,Lança-foguetes,Lança-Foguetes,Wyrzutnia Rakiet,Ракетная установка,ロケットランチャー,火箭发射器 (主力舰),火箭發射器,로켓 발사기,Roketatar,Εκτοξευτής Ρουκετών,Raketlanceerder,Đầu phóng tên lửa
